Ireland, Deaths (period 5x5), 	Last modified: 12 Jun 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1960-1964     60-64             5245.00         8068.00        13313.00
1960-1964     65-69             6785.00         9910.00        16695.00
1960-1964     70-74            10622.00        12827.00        23449.00
1960-1964     75-79            12545.00        13799.00        26344.00
1960-1964     80-84            13445.00        13100.00        26545.00
1960-1964     85-89             8774.00         7771.00        16545.00
1960-1964     90-94             3380.00         2454.00         5834.00
1960-1964     95-99              778.00          430.00         1208.00
1960-1964    100-104              91.73           22.00          113.73
1960-1964    105-109               2.26            1.00            3.26
1960-1964    110+                  0.00            0.00            0.00
1965-1969        0              3142.00         4085.00         7227.00
1965-1969      1-4               487.00          596.00         1083.00
1965-1969      5-9               247.00          365.00          612.00
1965-1969     10-14              182.00          265.00          447.00
1965-1969     15-19              243.00          492.00          735.00
1965-1969     20-24              220.00          548.00          768.00
1965-1969     25-29              252.00          440.00          692.00
1965-1969     30-34              363.00          478.00          841.00
1965-1969     35-39              520.00          755.00         1275.00
1965-1969     40-44              986.00         1309.00         2295.00
1965-1969     45-49             1658.00         2162.00         3820.00
1965-1969     50-54             2599.00         3836.00         6435.00
1965-1969     55-59             3336.00         5774.00         9110.00
1965-1969     60-64             5013.00         8252.00        13265.00
1965-1969     65-69             7093.00        11147.00        18240.00
1965-1969     70-74            10696.00        13443.00        24139.00
1965-1969     75-79            12078.00        13566.00        25644.00
1965-1969     80-84            12600.00        11811.00        24411.00
1965-1969     85-89             9222.00         7874.00        17096.00
1965-1969     90-94             3876.00         2754.00         6630.00
1965-1969     95-99             1040.00          540.00         1580.00
1965-1969    100-104              61.00           22.00           83.00
1965-1969    105-109               3.00            5.00            8.00
1965-1969    110+                  0.00            1.00            1.00
1970-1974        0              2608.00         3558.00         6166.00
1970-1974      1-4               457.00          586.00         1043.00
1970-1974      5-9               224.00          378.00          602.00
1970-1974     10-14              171.00          285.00          456.00
1970-1974     15-19              283.00          594.00          877.00
1970-1974     20-24              283.00          713.00          996.00
1970-1974     25-29              279.00          539.00          818.00
1970-1974     30-34              301.00          520.00          821.00
1970-1974     35-39              466.00          713.00         1179.00
1970-1974     40-44              841.00         1335.00         2176.00
1970-1974     45-49             1541.00         2208.00         3749.00
1970-1974     50-54             2459.00         3869.00         6328.00
1970-1974     55-59             3475.00         5913.00         9388.00
1970-1974     60-64             5282.00         8882.00        14164.00
1970-1974     65-69             6948.00        11392.00        18340.00
1970-1974     70-74            11113.00        14168.00        25281.00
1970-1974     75-79            12438.00        13848.00        26286.00
1970-1974     80-84            12870.00        11868.00        24738.00
1970-1974     85-89             9208.00         7372.00        16580.00
1970-1974     90-94             4340.00         2765.00         7105.00
1970-1974     95-99             1241.00          608.00         1849.00
1970-1974    100-104              92.00           33.00          125.00
1970-1974    105-109               3.00            0.00            3.00
1970-1974    110+                  0.00            0.00            0.00
1975-1979        0              2298.00         2972.00         5270.00
1975-1979      1-4               420.00          548.00          968.00
1975-1979      5-9               221.00          353.00          574.00
1975-1979     10-14              172.00          324.00          496.00
1975-1979     15-19              243.00          654.00          897.00
1975-1979     20-24              262.00          806.00         1068.00
1975-1979     25-29              287.00          702.00          989.00
1975-1979     30-34              316.00          610.00          926.00
1975-1979     35-39              466.00          757.00         1223.00
1975-1979     40-44              737.00         1173.00         1910.00
1975-1979     45-49             1274.00         1937.00         3211.00
1975-1979     50-54             2205.00         3654.00         5859.00
1975-1979     55-59             3269.00         5743.00         9012.00
1975-1979     60-64             5004.00         8647.00        13651.00
1975-1979     65-69             7157.00        12154.00        19311.00
1975-1979     70-74            10147.00        14304.00        24451.00
1975-1979     75-79            12952.00        14296.00        27248.00
1975-1979     80-84            13584.00        11816.00        25400.00
1975-1979     85-89             9589.00         7262.00        16851.00
1975-1979     90-94             4357.00         2655.00         7012.00
1975-1979     95-99             1361.00          577.00         1938.00
1975-1979    100-104             117.00           28.00          145.00
1975-1979    105-109               1.00            2.00            3.00
1975-1979    110+                  0.00            0.00            0.00
1980-1984        0              1578.00         2028.00         3606.00
1980-1984      1-4               341.00          460.00          801.00
1980-1984      5-9               186.00          310.00          496.00
1980-1984     10-14              147.00          279.00          426.00
1980-1984     15-19              272.00          729.00         1001.00
1980-1984     20-24              281.00          840.00         1121.00
1980-1984     25-29              254.00          655.00          909.00
1980-1984     30-34              337.00          661.00          998.00
1980-1984     35-39              425.00          821.00         1246.00
1980-1984     40-44              691.00         1163.00         1854.00
1980-1984     45-49             1049.00         1803.00         2852.00
1980-1984     50-54             1892.00         3220.00         5112.00
1980-1984     55-59             3013.00         5310.00         8323.00
1980-1984     60-64             4832.00         8123.00        12955.00
1980-1984     65-69             7077.00        11734.00        18811.00
1980-1984     70-74            10075.00        15134.00        25209.00
1980-1984     75-79            12033.00        14238.00        26271.00
1980-1984     80-84            13834.00        11935.00        25769.00
1980-1984     85-89             9888.00         6806.00        16694.00
1980-1984     90-94             4647.00         2682.00         7329.00
1980-1984     95-99             1328.00          600.00         1928.00
1980-1984    100-104             153.00           31.00          184.00
1980-1984    105-109              12.00            2.00           14.00
1980-1984    110+                  1.00            0.00            1.00
1985-1989        0              1070.00         1399.00         2469.00
1985-1989      1-4               220.00          326.00          546.00
1985-1989      5-9               129.00          242.00          371.00
1985-1989     10-14              152.00          245.00          397.00
1985-1989     15-19              225.00          638.00          863.00
1985-1989     20-24              229.00          763.00          992.00
1985-1989     25-29              199.00          607.00          806.00
1985-1989     30-34              329.00          674.00         1003.00
1985-1989     35-39              450.00          777.00         1227.00
1985-1989     40-44              682.00         1108.00         1790.00
1985-1989     45-49              978.00         1652.00         2630.00
1985-1989     50-54             1550.00         2691.00         4241.00
1985-1989     55-59             2574.00         4561.00         7135.00
1985-1989     60-64             4469.00         7518.00        11987.00
1985-1989     65-69             6725.00        11281.00        18006.00
1985-1989     70-74             9967.00        14821.00        24788.00
1985-1989     75-79            12493.00        15736.00        28229.00
1985-1989     80-84            13597.00        12132.00        25729.00
1985-1989     85-89            11184.00         7123.00        18307.00
1985-1989     90-94             5411.00         2636.00         8047.00
1985-1989     95-99             1566.00          579.00         2145.00
1985-1989    100-104             184.00           38.00          222.00
1985-1989    105-109              10.00            3.00           13.00
1985-1989    110+                  0.00            0.00            0.00
1990-1994        0               737.00         1008.00         1745.00
1990-1994      1-4               149.00          217.00          366.00
1990-1994      5-9                89.00          171.00          260.00
1990-1994     10-14              115.00          203.00          318.00
1990-1994     15-19              216.00          584.00          800.00
1990-1994     20-24              217.00          793.00         1010.00
1990-1994     25-29              259.00          714.00          973.00
1990-1994     30-34              308.00          698.00         1006.00
1990-1994     35-39              483.00          805.00         1288.00
1990-1994     40-44              743.00         1153.00         1896.00
1990-1994     45-49             1134.00         1730.00         2864.00
1990-1994     50-54             1478.00         2411.00         3889.00
1990-1994     55-59             2209.00         3940.00         6149.00
1990-1994     60-64             3579.00         6437.00        10016.00
1990-1994     65-69             6083.00         9860.00        15943.00
1990-1994     70-74             9071.00        13406.00        22477.00
1990-1994     75-79            12464.00        15034.00        27498.00
1990-1994     80-84            14162.00        13324.00        27486.00
1990-1994     85-89            11524.00         7407.00        18931.00
1990-1994     90-94             6266.00         2799.00         9065.00
1990-1994     95-99             1840.00          571.00         2411.00
1990-1994    100-104             238.00           53.00          291.00
1990-1994    105-109              18.00            2.00           20.00
1990-1994    110+                  0.00            0.00            0.00
1995-1999        0               693.00          875.00         1568.00
1995-1999      1-4               150.00          166.00          316.00
1995-1999      5-9                69.00          119.00          188.00
1995-1999     10-14              118.00          194.00          312.00
1995-1999     15-19              260.00          670.00          930.00
1995-1999     20-24              254.00         1026.00         1280.00
1995-1999     25-29              251.00          823.00         1074.00
1995-1999     30-34              366.00          801.00         1167.00
1995-1999     35-39              495.00          907.00         1402.00
1995-1999     40-44              774.00         1239.00         2013.00
1995-1999     45-49             1174.00         1870.00         3044.00
1995-1999     50-54             1677.00         2678.00         4355.00
1995-1999     55-59             2124.00         3912.00         6036.00
1995-1999     60-64             3277.00         5785.00         9062.00
1995-1999     65-69             5248.00         8899.00        14147.00
1995-1999     70-74             8672.00        12549.00        21221.00
1995-1999     75-79            12344.00        14750.00        27094.00
1995-1999     80-84            15084.00        13767.00        28851.00
1995-1999     85-89            13233.00         8774.00        22007.00
1995-1999     90-94             7193.00         3148.00        10341.00
1995-1999     95-99             2218.00          728.00         2946.00
1995-1999    100-104             286.00           76.00          362.00
1995-1999    105-109              11.00            6.00           17.00
1995-1999    110+                  1.00            0.00            1.00
2000-2004        0               691.00          896.00         1587.00
2000-2004      1-4               119.00          158.00          277.00
2000-2004      5-9                71.00          101.00          172.00
2000-2004     10-14               94.00          117.00          211.00
2000-2004     15-19              214.00          585.00          799.00
2000-2004     20-24              279.00          927.00         1206.00
2000-2004     25-29              257.00          879.00         1136.00
2000-2004     30-34              343.00          867.00         1210.00
2000-2004     35-39              582.00          963.00         1545.00
2000-2004     40-44              811.00         1325.00         2136.00
2000-2004     45-49             1158.00         1789.00         2947.00
2000-2004     50-54             1790.00         2889.00         4679.00
2000-2004     55-59             2309.00         3964.00         6273.00
2000-2004     60-64             2988.00         5265.00         8253.00
2000-2004     65-69             4356.00         7436.00        11792.00
2000-2004     70-74             6911.00        10215.00        17126.00
2000-2004     75-79            10905.00        12748.00        23653.00
2000-2004     80-84            13912.00        12611.00        26523.00
2000-2004     85-89            13455.00         8780.00        22235.00
2000-2004     90-94             7948.00         3646.00        11594.00
2000-2004     95-99             2479.00          713.00         3192.00
2000-2004    100-104             377.00           77.00          454.00
2000-2004    105-109              20.00            5.00           25.00
2000-2004    110+                  0.00            0.00            0.00
2005-2009        0               556.00          696.00         1252.00
2005-2009      1-4               115.00          140.00          255.00
2005-2009      5-9                50.00           76.00          126.00
2005-2009     10-14               81.00          113.00          194.00
2005-2009     15-19              201.00          499.00          700.00
2005-2009     20-24              226.00          839.00         1065.00
2005-2009     25-29              319.00          874.00         1193.00
2005-2009     30-34              366.00          904.00         1270.00
2005-2009     35-39              525.00         1008.00         1533.00
2005-2009     40-44              762.00         1304.00         2066.00
2005-2009     45-49             1297.00         1821.00         3118.00
2005-2009     50-54             1683.00         2612.00         4295.00
2005-2009     55-59             2373.00         3792.00         6165.00
2005-2009     60-64             3171.00         5197.00         8368.00
2005-2009     65-69             3874.00         6594.00        10468.00
2005-2009     70-74             5719.00         8823.00        14542.00
2005-2009     75-79             8920.00        11023.00        19943.00
2005-2009     80-84            12907.00        12055.00        24962.00
2005-2009     85-89            13385.00         9096.00        22481.00
2005-2009     90-94             8731.00         4088.00        12819.00
2005-2009     95-99             3173.00          948.00         4121.00
2005-2009    100-104             468.18           85.00          553.18
2005-2009    105-109              24.80            5.00           29.80
2005-2009    110+                  0.00            0.00            0.00
2010-2014        0               550.00          689.00         1239.00
2010-2014      1-4                84.00          120.00          204.00
2010-2014      5-9                66.00           81.00          147.00
2010-2014     10-14               45.00           83.00          128.00
2010-2014     15-19              127.00          282.00          409.00
2010-2014     20-24              164.00          624.00          788.00
2010-2014     25-29              238.00          679.00          917.00
2010-2014     30-34              384.00          857.00         1241.00
2010-2014     35-39              488.00          978.00         1466.00
2010-2014     40-44              764.00         1307.00         2071.00
2010-2014     45-49             1113.00         1796.00         2909.00
2010-2014     50-54             1686.00         2561.00         4247.00
2010-2014     55-59             2340.00         3554.00         5894.00
2010-2014     60-64             3269.00         5217.00         8486.00
2010-2014     65-69             4438.00         6895.00        11333.00
2010-2014     70-74             5469.00         8333.00        13802.00
2010-2014     75-79             8078.00        10564.00        18642.00
2010-2014     80-84            11696.00        12060.00        23756.00
2010-2014     85-89            14321.00        10338.00        24659.00
2010-2014     90-94            10609.00         5186.00        15795.00
2010-2014     95-99             4054.00         1280.00         5334.00
2010-2014    100-104             702.00          138.00          840.00
2010-2014    105-109              48.00            4.00           52.00
2010-2014    110+                  0.00            0.00            0.00
2015-2019        0               444.00          527.00          971.00
2015-2019      1-4                68.00           79.00          147.00
2015-2019      5-9                41.00           56.00           97.00
2015-2019     10-14               44.00           78.00          122.00
2015-2019     15-19              106.00          231.00          337.00
2015-2019     20-24              120.00          363.00          483.00
2015-2019     25-29              199.00          461.00          660.00
2015-2019     30-34              346.00          605.00          951.00
2015-2019     35-39              489.00          818.00         1307.00
2015-2019     40-44              718.00         1214.00         1932.00
2015-2019     45-49             1046.00         1697.00         2743.00
2015-2019     50-54             1625.00         2431.00         4056.00
2015-2019     55-59             2366.00         3580.00         5946.00
2015-2019     60-64             3176.00         4979.00         8155.00
2015-2019     65-69             4632.00         6985.00        11617.00
2015-2019     70-74             6398.00         9428.00        15826.00
2015-2019     75-79             8321.00        11379.00        19700.00
2015-2019     80-84            11843.00        13097.00        24940.00
2015-2019     85-89            14375.00        12017.00        26392.00
2015-2019     90-94            12535.00         6741.00        19276.00
2015-2019     95-99             5050.00         1700.00         6750.00
2015-2019    100-104             848.04          179.23         1027.27
2015-2019    105-109              45.96            4.76           50.72
2015-2019    110+                  0.00            0.00            0.00
