Scotland, Exposure to risk (cohort 5x5), 	Last modified: 14 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1875-1879      1-4            996064.61      1021449.93      2017514.55
1875-1879      5-9           1159109.89      1187943.56      2347053.45
1875-1879     10-14          1118368.11      1143365.58      2261733.69
1875-1879     15-19          1101428.22      1095541.85      2196970.08
1875-1879     20-24          1084350.94      1032369.87      2116720.81
1875-1879     25-29          1018493.21       947973.26      1966466.46
1875-1879     30-34           927128.67       858351.39      1785480.06
1875-1879     35-39           849922.71       785392.16      1635314.87
1875-1879     40-44           806750.59       739554.32      1546304.90
1875-1879     45-49           750952.00       687273.32      1438225.32
1875-1879     50-54           694263.09       632701.87      1326964.97
1875-1879     55-59           647572.11       581216.77      1228788.87
1875-1879     60-64           590307.33       516767.17      1107074.49
1875-1879     65-69           521893.23       435628.81       957522.04
1875-1879     70-74           427331.42       332991.76       760323.18
1875-1879     75-79           304657.44       215339.77       519997.20
1875-1879     80-84           181870.30       110088.18       291958.48
1875-1879     85-89            82267.83        39406.52       121674.35
1875-1879     90-94            26669.47         9484.54        36154.01
1875-1879     95-99             5240.08         1331.93         6572.00
1875-1879    100-104             579.79           80.21          660.00
1875-1879    105-109              30.15            3.44           33.58
1875-1879    110+                  1.48            0.00            1.48
1880-1884        0            285218.90       295738.21       580957.12
1880-1884      1-4           1001093.48      1022823.79      2023917.27
1880-1884      5-9           1174017.47      1201953.92      2375971.38
1880-1884     10-14          1149919.63      1173947.68      2323867.31
1880-1884     15-19          1128252.26      1133315.91      2261568.17
1880-1884     20-24          1083308.32      1039608.75      2122917.07
1880-1884     25-29          1012761.33       924517.71      1937279.04
1880-1884     30-34           928408.61       829887.51      1758296.12
1880-1884     35-39           875415.87       759513.30      1634929.17
1880-1884     40-44           808811.01       703793.86      1512604.87
1880-1884     45-49           758695.76       665221.55      1423917.31
1880-1884     50-54           720331.82       624888.31      1345220.13
1880-1884     55-59           677860.96       577610.09      1255471.05
1880-1884     60-64           623735.32       513168.98      1136904.31
1880-1884     65-69           539396.32       418989.97       958386.29
1880-1884     70-74           439702.62       315764.99       755467.61
1880-1884     75-79           319529.32       204285.97       523815.29
1880-1884     80-84           199028.08       106886.25       305914.33
1880-1884     85-89            95872.13        40952.83       136824.95
1880-1884     90-94            32697.39        10225.36        42922.76
1880-1884     95-99             7068.36         1453.18         8521.54
1880-1884    100-104             957.53           90.36         1047.89
1880-1884    105-109              64.69            0.48           65.17
1880-1884    110+                  3.79            0.00            3.79
1885-1889        0            284095.38       296260.35       580355.73
1885-1889      1-4            993766.33      1021138.04      2014904.38
1885-1889      5-9           1173729.38      1206183.24      2379912.61
1885-1889     10-14          1153538.62      1182150.10      2335688.72
1885-1889     15-19          1118028.56      1106181.08      2224209.64
1885-1889     20-24          1067404.55      1000765.47      2068170.03
1885-1889     25-29           981736.05       877545.42      1859281.48
1885-1889     30-34           921611.22       786843.54      1708454.76
1885-1889     35-39           840289.21       713964.11      1554253.32
1885-1889     40-44           785794.50       667360.39      1453154.88
1885-1889     45-49           762322.46       645290.49      1407612.95
1885-1889     50-54           736387.25       610572.28      1346959.53
1885-1889     55-59           702695.02       565863.13      1268558.15
1885-1889     60-64           635349.07       493964.95      1129314.02
1885-1889     65-69           560451.65       407624.38       968076.03
1885-1889     70-74           464331.99       304558.53       768890.52
1885-1889     75-79           346062.22       195344.55       541406.77
1885-1889     80-84           220034.04       102215.29       322249.32
1885-1889     85-89           109199.96        40136.97       149336.93
1885-1889     90-94            38595.04        10524.91        49119.95
1885-1889     95-99             8861.90         1699.76        10561.66
1885-1889    100-104            1169.64          168.81         1338.45
1885-1889    105-109              98.22            7.18          105.40
1885-1889    110+                  2.15            0.00            2.15
1890-1894        0            281304.36       292287.70       573592.06
1890-1894      1-4            996869.69      1020541.31      2017411.00
1890-1894      5-9           1201061.22      1231599.91      2432661.13
1890-1894     10-14          1173273.94      1197002.12      2370276.06
1890-1894     15-19          1132412.22      1134969.91      2267382.13
1890-1894     20-24          1059844.68      1005245.09      2065089.77
1890-1894     25-29          1003451.86       855602.13      1859053.99
1890-1894     30-34           920824.98       754768.91      1675593.89
1890-1894     35-39           854079.98       719389.23      1573469.21
1890-1894     40-44           826062.49       696850.33      1522912.83
1890-1894     45-49           805189.49       662701.68      1467891.17
1890-1894     50-54           783997.28       632469.07      1416466.36
1890-1894     55-59           719870.29       576494.31      1296364.60
1890-1894     60-64           664030.48       503966.63      1167997.11
1890-1894     65-69           592403.87       412851.47      1005255.34
1890-1894     70-74           493269.45       305274.96       798544.41
1890-1894     75-79           370300.16       195883.10       566183.26
1890-1894     80-84           246684.93       103564.68       350249.61
1890-1894     85-89           128046.02        40503.51       168549.53
1890-1894     90-94            47738.85        11041.04        58779.89
1890-1894     95-99            11424.80         1864.26        13289.06
1890-1894    100-104            1501.30          156.77         1658.07
1890-1894    105-109              80.48            4.61           85.09
1890-1894    110+                  5.70            0.00            5.70
1895-1899        0            294323.35       303628.01       597951.35
1895-1899      1-4           1042306.15      1056649.90      2098956.05
1895-1899      5-9           1239154.71      1257994.03      2497148.74
1895-1899     10-14          1194732.17      1207034.24      2401766.41
1895-1899     15-19          1131087.76      1082029.17      2213116.93
1895-1899     20-24          1101395.75       976029.96      2077425.71
1895-1899     25-29          1014607.14       844072.49      1858679.63
1895-1899     30-34           928959.78       769646.31      1698606.09
1895-1899     35-39           889796.59       749898.21      1639694.80
1895-1899     40-44           872318.16       709921.09      1582239.25
1895-1899     45-49           864601.99       690188.18      1554790.17
1895-1899     50-54           810432.36       667977.13      1478409.49
1895-1899     55-59           764754.18       612328.69      1377082.87
1895-1899     60-64           712655.79       537388.18      1250043.97
1895-1899     65-69           639587.89       438174.62      1077762.51
1895-1899     70-74           539268.90       323390.03       862658.93
1895-1899     75-79           416112.50       207632.30       623744.81
1895-1899     80-84           280963.64       108966.64       389930.28
1895-1899     85-89           152857.59        43989.01       196846.60
1895-1899     90-94            61141.42        12697.17        73838.58
1895-1899     95-99            15302.73         2217.07        17519.80
1895-1899    100-104            1951.25          178.92         2130.17
1895-1899    105-109             105.44           12.71          118.15
1895-1899    110+                  3.97            0.00            3.97
1900-1904        0            300158.83       308685.86       608844.70
1900-1904      1-4           1072117.05      1082690.15      2154807.21
1900-1904      5-9           1280972.76      1288710.70      2569683.46
1900-1904     10-14          1233345.11      1217700.84      2451045.95
1900-1904     15-19          1203212.08      1188070.38      2391282.46
